Timestamp; Table Name; Topic Name; Value
1678668459956; SmartDashboard; Wheel Encoder Positions; (0.000, -0.577)
1678668460061; SmartDashboard; Pose (Estimated); (5.469, -0.406, -37.2 degrees)
1678668460061; SmartDashboard; Wheel Encoder Positions; (0.000, -0.598)
1678668460061; limelight; botpose; [5.403726825646789, -0.4180810989413721, 0.3778538240996894, 2.612928201500939, 1.546689715416147, -24.802742625669108]
1678668460061; SmartDashboard; Pose (LimeLight); (5.404, -0.418, -24.8 degrees)
1678668460169; SmartDashboard; Pose (Estimated); (5.453, -0.403, -37.5 degrees)
1678668460169; SmartDashboard; Wheel Encoder Positions; (0.000, -0.617)
1678668460169; limelight; botpose; [5.3838595012626005, -0.4301034690707965, 0.36998747100552476, 2.6847778813243934, 1.3088735817212171, -24.418357196598343]
1678668460169; SmartDashboard; Pose (LimeLight); (5.384, -0.430, -24.4 degrees)
1678668460258; SmartDashboard; Pose (Estimated); (5.438, -0.398, -37.9 degrees)
1678668460258; SmartDashboard; Wheel Encoder Positions; (0.000, -0.637)
1678668460258; limelight; botpose; [5.380097027164135, -0.4105471685786319, 0.34253690854324864, 2.8315409548210755, 0.5214996266728483, -25.072275164863587]
1678668460259; SmartDashboard; Pose (LimeLight); (5.380, -0.411, -25.1 degrees)
1678668460371; SmartDashboard; Pose (Estimated); (5.424, -0.394, -38.2 degrees)
1678668460372; SmartDashboard; Wheel Encoder Positions; (0.000, -0.655)
1678668460372; limelight; botpose; [5.360701893228365, -0.3847089959300113, 0.3496689634586406, 2.8925514462339215, 0.7487247041764363, -26.06107852560557]
1678668460372; SmartDashboard; Pose (LimeLight); (5.361, -0.385, -26.1 degrees)
1678668460457; SmartDashboard; Pose (Estimated); (5.412, -0.389, -38.2 degrees)
1678668460458; SmartDashboard; Wheel Encoder Positions; (0.000, -0.669)
1678668460458; limelight; botpose; [5.353317411016083, -0.38131342069254526, 0.3582706713854554, 3.016895222589842, 1.0076141605131623, -26.156938896524526]
1678668460458; SmartDashboard; Pose (LimeLight); (5.353, -0.381, -26.2 degrees)
1678668460641; SmartDashboard; Pose (Estimated); (5.396, -0.385, -36.6 degrees)
1678668460641; SmartDashboard; Wheel Encoder Positions; (0.000, -0.677)
1678668460641; limelight; botpose; [5.333555672765418, -0.37686276727887175, 0.3680004227644086, 2.6926072382868798, 1.2651265393939324, -26.192141821410253]
1678668460641; SmartDashboard; Pose (LimeLight); (5.334, -0.377, -26.2 degrees)
1678668460658; SmartDashboard; Pose (Estimated); (5.384, -0.384, -36.0 degrees)
1678668460658; SmartDashboard; Wheel Encoder Positions; (0.000, -0.684)
1678668460658; limelight; botpose; [5.303212486555275, -0.3979653726641719, 0.37978657869610144, 2.5362219889452966, 1.5672105168554185, -25.34260210995919]
1678668460658; SmartDashboard; Pose (LimeLight); (5.303, -0.398, -25.3 degrees)
1678668460758; SmartDashboard; Pose (Estimated); (5.373, -0.381, -35.7 degrees)
1678668460758; SmartDashboard; Wheel Encoder Positions; (0.000, -0.693)
1678668460758; limelight; botpose; [5.30478679833074, -0.3776206042664367, 0.38707949489006654, 2.53399288372452, 1.7268759565583702, -25.738997376678796]
1678668460759; SmartDashboard; Pose (LimeLight); (5.305, -0.378, -25.7 degrees)
1678668460860; SmartDashboard; Pose (Estimated); (5.362, -0.379, -35.3 degrees)
1678668460861; SmartDashboard; Wheel Encoder Positions; (0.000, -0.700)
1678668460861; limelight; botpose; [5.296217846911234, -0.3769952139541918, 0.3772517318755407, 2.8134804357646392, 1.462688614145194, -25.491819162823933]
1678668460861; SmartDashboard; Pose (LimeLight); (5.296, -0.377, -25.5 degrees)
1678668460958; SmartDashboard; Pose (Estimated); (5.352, -0.375, -35.2 degrees)
1678668460958; SmartDashboard; Wheel Encoder Positions; (0.000, -0.709)
1678668460958; limelight; botpose; [5.297672945320433, -0.36553773357982117, 0.3545094125317865, 2.7839760615637386, 0.8560004990135369, -25.811835559579322]
1678668460958; SmartDashboard; Pose (LimeLight); (5.298, -0.366, -25.8 degrees)
1678668461058; SmartDashboard; Pose (Estimated); (5.344, -0.372, -34.7 degrees)
1678668461058; SmartDashboard; Wheel Encoder Positions; (0.000, -0.715)
1678668461058; limelight; botpose; [5.284286039501269, -0.3632087025415988, 0.40395499144668123, 2.296490413067149, 2.171533833748956, -26.036014795180122]
1678668461058; SmartDashboard; Pose (LimeLight); (5.284, -0.363, -26.0 degrees)
1678668461157; SmartDashboard; Pose (Estimated); (5.330, -0.370, -33.4 degrees)
1678668461158; SmartDashboard; Wheel Encoder Positions; (0.000, -0.719)
1678668461158; limelight; botpose; [5.274565273138282, -0.36905652319741405, 0.344376117254579, 3.156118237263713, 0.6212332381520292, -25.74865557480662]
1678668461158; SmartDashboard; Pose (LimeLight); (5.275, -0.369, -25.7 degrees)
